//===== eAthena Script =======================================
//= Mapflag from a script in the NPC folder
//===== By: ==================================================
//= Epoque
//===== Current Version: =====================================
//= 1.0a [Epoque]
//===== Compatible With: =====================================
//=
//===== Description: =========================================
//=
//============================================================

//hunte	mapflag	noloot
//job_knt	mapflag	noloot
//job_prist	mapflag	noloot
//job_wiz	mapflag	noloot
//job_cru	mapflag	noloot
//monk_test	mapflag	noloot
//in_rogue	mapflag	noloot
//job_sage	mapflag	noloot
//job_soul	mapflag	noloot
//job_star	mapflag	noloot
//que_ng	mapflag	noloot

//Thieves have to gather some mushrooms. So they need loot
//job_thief1	mapflag	noloot

//------------------------- Normal Maps ---------------------------	mapflag	nodrop
mjolnir_12	mapflag	nodrop
moc_castle	mapflag	nodrop
moc_fild01	mapflag	nodrop
moc_fild02	mapflag	nodrop
moc_fild03	mapflag	nodrop
moc_fild04	mapflag	nodrop
moc_fild05	mapflag	nodrop
moc_fild06	mapflag	nodrop
moc_fild07	mapflag	nodrop
moc_fild08	mapflag	nodrop
moc_fild09	mapflag	nodrop
moc_fild10	mapflag	nodrop
moc_fild11	mapflag	nodrop
moc_fild12	mapflag	nodrop
moc_fild13	mapflag	nodrop
moc_fild14	mapflag	nodrop
moc_fild15	mapflag	nodrop
moc_fild16	mapflag	nodrop
moc_fild17	mapflag	nodrop
moc_fild18	mapflag	nodrop
moc_fild19	mapflag	nodrop
moc_pryd01	mapflag	nodrop
moc_pryd02	mapflag	nodrop
moc_pryd03	mapflag	nodrop
moc_pryd04	mapflag	nodrop
moc_pryd05	mapflag	nodrop
moc_pryd06	mapflag	nodrop
moc_prydb1	mapflag	nodrop
moc_ruins	mapflag	nodrop
monk_in	mapflag	nodrop
morocc	mapflag	nodrop
morocc_in	mapflag	nodrop
new_zone01	mapflag	nodrop
new_zone02	mapflag	nodrop
new_zone03	mapflag	nodrop
new_zone04	mapflag	nodrop
new_1-1	mapflag	nodrop
new_1-2	mapflag	nodrop
new_1-3	mapflag	nodrop
new_1-4	mapflag	nodrop
new_2-1	mapflag	nodrop
new_2-2	mapflag	nodrop
new_2-3	mapflag	nodrop
new_2-4	mapflag	nodrop
new_3-1	mapflag	nodrop
new_3-2	mapflag	nodrop
new_3-3	mapflag	nodrop
new_3-4	mapflag	nodrop
new_4-1	mapflag	nodrop
new_4-2	mapflag	nodrop
new_4-3	mapflag	nodrop
new_4-4	mapflag	nodrop
new_5-1	mapflag	nodrop
new_5-2	mapflag	nodrop
new_5-3	mapflag	nodrop
new_5-4	mapflag	nodrop
orcsdun01	mapflag	nodrop
orcsdun02	mapflag	nodrop
ordeal_1-1	mapflag	nodrop
ordeal_1-2	mapflag	nodrop
ordeal_2-1	mapflag	nodrop
ordeal_2-2	mapflag	nodrop
ordeal_3-1	mapflag	nodrop
ordeal_3-2	mapflag	nodrop
pay_arche	mapflag	nodrop
pay_dun00	mapflag	nodrop
pay_dun01	mapflag	nodrop
pay_dun02	mapflag	nodrop
pay_dun03	mapflag	nodrop
pay_dun04	mapflag	nodrop
pay_fild01	mapflag	nodrop
pay_fild02	mapflag	nodrop
pay_fild03	mapflag	nodrop
pay_fild04	mapflag	nodrop
pay_fild05	mapflag	nodrop
pay_fild06	mapflag	nodrop
pay_fild07	mapflag	nodrop
pay_fild08	mapflag	nodrop
pay_fild09	mapflag	nodrop
pay_fild10	mapflag	nodrop
pay_fild11	mapflag	nodrop
prontera	mapflag	nodrop
prt_are_in	mapflag	nodrop
prt_are01	mapflag	nodrop
prt_castle	mapflag	nodrop
prt_church	mapflag	nodrop
prt_fild00	mapflag	nodrop
prt_fild01	mapflag	nodrop
prt_fild02	mapflag	nodrop
prt_fild03	mapflag	nodrop
prt_fild04	mapflag	nodrop
prt_fild05	mapflag	nodrop
prt_fild06	mapflag	nodrop
prt_fild07	mapflag	nodrop
prt_fild08	mapflag	nodrop
prt_fild09	mapflag	nodrop
prt_fild10	mapflag	nodrop
prt_fild11	mapflag	nodrop
prt_in	mapflag	nodrop
prt_maze01	mapflag	nodrop
prt_maze02	mapflag	nodrop
prt_maze03	mapflag	nodrop
prt_monk	mapflag	nodrop
prt_sewb1	mapflag	nodrop
prt_sewb2	mapflag	nodrop
prt_sewb3	mapflag	nodrop
prt_sewb4	mapflag	nodrop
pvp_room	mapflag	nodrop
pvp_2vs2	mapflag	nodrop
pvp_c_room	mapflag	nodrop
pvp_n_1-1	mapflag	nodrop
pvp_n_1-2	mapflag	nodrop
pvp_n_1-3	mapflag	nodrop
pvp_n_1-4	mapflag	nodrop
pvp_n_1-5	mapflag	nodrop
pvp_n_2-1	mapflag	nodrop
pvp_n_2-2	mapflag	nodrop
pvp_n_2-3	mapflag	nodrop
pvp_n_2-4	mapflag	nodrop
pvp_n_2-5	mapflag	nodrop
pvp_n_3-1	mapflag	nodrop
pvp_n_3-2	mapflag	nodrop
pvp_n_3-3	mapflag	nodrop
pvp_n_3-4	mapflag	nodrop
pvp_n_3-5	mapflag	nodrop
pvp_n_4-1	mapflag	nodrop
pvp_n_4-2	mapflag	nodrop
pvp_n_4-3	mapflag	nodrop
pvp_n_4-4	mapflag	nodrop
pvp_n_4-5	mapflag	nodrop
pvp_n_5-1	mapflag	nodrop
pvp_n_5-2	mapflag	nodrop
pvp_n_5-3	mapflag	nodrop
pvp_n_5-4	mapflag	nodrop
pvp_n_5-5	mapflag	nodrop
pvp_n_6-1	mapflag	nodrop
pvp_n_6-2	mapflag	nodrop
pvp_n_6-3	mapflag	nodrop
pvp_n_6-4	mapflag	nodrop
pvp_n_6-5	mapflag	nodrop
pvp_n_7-1	mapflag	nodrop
pvp_n_7-2	mapflag	nodrop
pvp_n_7-3	mapflag	nodrop
pvp_n_7-4	mapflag	nodrop
pvp_n_7-5	mapflag	nodrop
pvp_n_8-1	mapflag	nodrop
pvp_n_8-2	mapflag	nodrop
pvp_n_8-3	mapflag	nodrop
pvp_n_8-4	mapflag	nodrop
pvp_n_8-5	mapflag	nodrop
pvp_n_room	mapflag	nodrop
pvp_y_1-1	mapflag	nodrop
pvp_y_1-2	mapflag	nodrop
pvp_y_1-3	mapflag	nodrop
pvp_y_1-4	mapflag	nodrop
pvp_y_1-5	mapflag	nodrop
pvp_y_2-1	mapflag	nodrop
pvp_y_2-2	mapflag	nodrop
pvp_y_2-3	mapflag	nodrop
pvp_y_2-4	mapflag	nodrop
pvp_y_2-5	mapflag	nodrop
pvp_y_3-1	mapflag	nodrop
pvp_y_3-2	mapflag	nodrop
pvp_y_3-3	mapflag	nodrop
pvp_y_3-4	mapflag	nodrop
pvp_y_3-5	mapflag	nodrop
pvp_y_4-1	mapflag	nodrop
pvp_y_4-2	mapflag	nodrop
pvp_y_4-3	mapflag	nodrop
pvp_y_4-4	mapflag	nodrop
pvp_y_4-5	mapflag	nodrop
pvp_y_5-1	mapflag	nodrop
pvp_y_5-2	mapflag	nodrop
pvp_y_5-3	mapflag	nodrop
pvp_y_5-4	mapflag	nodrop
pvp_y_5-5	mapflag	nodrop
pvp_y_6-1	mapflag	nodrop
pvp_y_6-2	mapflag	nodrop
pvp_y_6-3	mapflag	nodrop
pvp_y_6-4	mapflag	nodrop
pvp_y_6-5	mapflag	nodrop
pvp_y_7-1	mapflag	nodrop
pvp_y_7-2	mapflag	nodrop
pvp_y_7-3	mapflag	nodrop
pvp_y_7-4	mapflag	nodrop
pvp_y_7-5	mapflag	nodrop
pvp_y_8-1	mapflag	nodrop
pvp_y_8-2	mapflag	nodrop
pvp_y_8-3	mapflag	nodrop
pvp_y_8-4	mapflag	nodrop
pvp_y_8-5	mapflag	nodrop
pvp_y_room	mapflag	nodrop
treasure01	mapflag	nodrop
treasure02	mapflag	nodrop
xmas	mapflag	nodrop
xmas_dun01	mapflag	nodrop
xmas_dun02	mapflag	nodrop
xmas_fild01	mapflag	nodrop
xmas_in	mapflag	nodrop
beach_dun	mapflag	nodrop
beach_dun2	mapflag	nodrop
beach_dun3	mapflag	nodrop
cmd_fild01	mapflag	nodrop
cmd_fild02	mapflag	nodrop
cmd_fild03	mapflag	nodrop
cmd_fild04	mapflag	nodrop
cmd_fild05	mapflag	nodrop
cmd_fild06	mapflag	nodrop
cmd_fild07	mapflag	nodrop
cmd_fild08	mapflag	nodrop
cmd_fild09	mapflag	nodrop
cmd_in01	mapflag	nodrop
cmd_in02	mapflag	nodrop
comodo	mapflag	nodrop
quiz_00	mapflag	nodrop
quiz_01	mapflag	nodrop
g_room1-1	mapflag	nodrop
g_room1-2	mapflag	nodrop
g_room1-3	mapflag	nodrop
g_room2	mapflag	nodrop
tur_dun01	mapflag	nodrop
tur_dun02	mapflag	nodrop
tur_dun03	mapflag	nodrop
tur_dun04	mapflag	nodrop
tur_dun05	mapflag	nodrop
tur_dun06	mapflag	nodrop
alde_gld	mapflag	nodrop
aldeg_cas01	mapflag	nodrop
aldeg_cas02	mapflag	nodrop
aldeg_cas03	mapflag	nodrop
aldeg_cas04	mapflag	nodrop
aldeg_cas05	mapflag	nodrop
gefg_cas01	mapflag	nodrop
gefg_cas02	mapflag	nodrop
gefg_cas03	mapflag	nodrop
gefg_cas04	mapflag	nodrop
gefg_cas05	mapflag	nodrop
gld_dun01	mapflag	nodrop
gld_dun02	mapflag	nodrop
gld_dun03	mapflag	nodrop
gld_dun04	mapflag	nodrop
guild_room	mapflag	nodrop
guild_vs1	mapflag	nodrop
guild_vs2	mapflag	nodrop
guild_vs3	mapflag	nodrop
guild_vs4	mapflag	nodrop
guild_vs5	mapflag	nodrop
guild_vs1-1	mapflag	nodrop
guild_vs1-2	mapflag	nodrop
guild_vs1-3	mapflag	nodrop
guild_vs1-4	mapflag	nodrop
guild_vs2-1	mapflag	nodrop
guild_vs2-2	mapflag	nodrop
job_hunte	mapflag	nodrop
job_knt	mapflag	nodrop
job_prist	mapflag	nodrop
job_sword1	mapflag	nodrop
job_wiz	mapflag	nodrop
pay_gld	mapflag	nodrop
payg_cas01	mapflag	nodrop
payg_cas02	mapflag	nodrop
payg_cas03	mapflag	nodrop
payg_cas04	mapflag	nodrop
payg_cas05	mapflag	nodrop
prt_gld	mapflag	nodrop
prtg_cas01	mapflag	nodrop
prtg_cas02	mapflag	nodrop
prtg_cas03	mapflag	nodrop
prtg_cas04	mapflag	nodrop
prtg_cas05	mapflag	nodrop
alde_alche	mapflag	nodrop
in_rogue	mapflag	nodrop
job_cru	mapflag	nodrop
job_duncer	mapflag	nodrop
job_monk	mapflag	nodrop
job_sage	mapflag	nodrop
mag_dun01	mapflag	nodrop
mag_dun02	mapflag	nodrop
monk_test	mapflag	nodrop
quiz_test	mapflag	nodrop
yuno	mapflag	nodrop
yuno_fild01	mapflag	nodrop
yuno_fild02	mapflag	nodrop
yuno_fild03	mapflag	nodrop
yuno_fild04	mapflag	nodrop
yuno_in01	mapflag	nodrop
yuno_in02	mapflag	nodrop
yuno_in03	mapflag	nodrop
yuno_in04	mapflag	nodrop
yuno_in05	mapflag	nodrop
ama_dun01	mapflag	nodrop
ama_dun02	mapflag	nodrop
ama_dun03	mapflag	nodrop
ama_fild01	mapflag	nodrop
ama_in01	mapflag	nodrop
ama_in02	mapflag	nodrop
ama_test	mapflag	nodrop
amatsu	mapflag	nodrop
gon_dun01	mapflag	nodrop
gon_dun02	mapflag	nodrop
gon_dun03	mapflag	nodrop
gon_fild01	mapflag	nodrop
gon_in	mapflag	nodrop
gon_test	mapflag	nodrop
gonryun	mapflag	nodrop
sec_in01	mapflag	nodrop
sec_in02	mapflag	nodrop
sec_pri	mapflag	nodrop
umbala	mapflag	nodrop
um_dun01	mapflag	nodrop
um_dun02	mapflag	nodrop
um_fild01	mapflag	nodrop
um_fild02	mapflag	nodrop
um_fild03	mapflag	nodrop
um_fild04	mapflag	nodrop
um_in	mapflag	nodrop
niflheim	mapflag	nodrop
nif_fild01	mapflag	nodrop
nif_fild02	mapflag	nodrop
nif_in	mapflag	nodrop
yggdrasil01	mapflag	nodrop
valkyrie	mapflag	nodrop
himinn	mapflag	nodrop
lou_in01	mapflag	nodrop
lou_in02	mapflag	nodrop
lou_dun03	mapflag	nodrop
lou_dun02	mapflag	nodrop
lou_dun01	mapflag	nodrop
lou_fild01	mapflag	nodrop
louyang	mapflag	nodrop
n_castle	mapflag	nodrop
nguild_gef	mapflag	nodrop
nguild_prt	mapflag	nodrop
nguild_pay	mapflag	nodrop
nguild_alde	mapflag	nodrop
jawaii	mapflag	nodrop
jawaii_in	mapflag	nodrop
gefenia01	mapflag	nodrop
gefenia02	mapflag	nodrop
gefenia03	mapflag	nodrop
gefenia04	mapflag	nodrop
payon	mapflag	nodrop
payon_in01	mapflag	nodrop
payon_in02	mapflag	nodrop
payon_in03	mapflag	nodrop
ayothaya	mapflag	nodrop
ayo_in01	mapflag	nodrop
ayo_in02	mapflag	nodrop
ayo_fild01	mapflag	nodrop
ayo_fild02	mapflag	nodrop
ayo_dun01	mapflag	nodrop
ayo_dun02	mapflag	nodrop
que_god01	mapflag	nodrop
que_god02	mapflag	nodrop
yuno_fild05	mapflag	nodrop
yuno_fild07	mapflag	nodrop
yuno_fild08	mapflag	nodrop
yuno_fild09	mapflag	nodrop
yuno_fild11	mapflag	nodrop
yuno_fild12	mapflag	nodrop
alde_tt02	mapflag	nodrop
turbo_n_1	mapflag	nodrop
turbo_n_4	mapflag	nodrop
turbo_n_8	mapflag	nodrop
turbo_n_16	mapflag	nodrop
turbo_e_4	mapflag	nodrop
turbo_e_8	mapflag	nodrop
turbo_e_16	mapflag	nodrop
turbo_room	mapflag	nodrop
airplane	mapflag	nodrop
airport	mapflag	nodrop
einbech	mapflag	nodrop
einbroch	mapflag	nodrop
ein_dun01	mapflag	nodrop
ein_dun02	mapflag	nodrop
ein_fild06	mapflag	nodrop
ein_fild07	mapflag	nodrop
ein_fild08	mapflag	nodrop
ein_fild09	mapflag	nodrop
ein_fild10	mapflag	nodrop
ein_in01	mapflag	nodrop
que_sign01	mapflag	nodrop
que_sign02	mapflag	nodrop
ein_fild03	mapflag	nodrop
ein_fild04	mapflag	nodrop
lhz_fild02	mapflag	nodrop
lhz_fild03	mapflag	nodrop
yuno_pre	mapflag	nodrop
lhz_fild01	mapflag	nodrop
lighthalzen	mapflag	nodrop
lhz_in01	mapflag	nodrop
lhz_in02	mapflag	nodrop
lhz_in03	mapflag	nodrop
lhz_que01	mapflag	nodrop
lhz_dun01	mapflag	nodrop
lhz_dun02	mapflag	nodrop
lhz_dun03	mapflag	nodrop
lhz_cube	mapflag	nodrop
juperos_01	mapflag	nodrop
juperos_02	mapflag	nodrop
jupe_area1	mapflag	nodrop
jupe_area2	mapflag	nodrop
jupe_core	mapflag	nodrop
jupe_ele	mapflag	nodrop
jupe_ele_r	mapflag	nodrop
jupe_gate	mapflag	nodrop
y_airport	mapflag	nodrop
lhz_airport	mapflag	nodrop
airplane_01	mapflag	nodrop
jupe_cave	mapflag	nodrop
quiz_02	mapflag	nodrop
hu_fild07	mapflag	nodrop
hu_fild05	mapflag	nodrop
hu_fild04	mapflag	nodrop
hu_fild01	mapflag	nodrop
yuno_fild06	mapflag	nodrop
job_soul	mapflag	nodrop
job_star	mapflag	nodrop
que_job01	mapflag	nodrop
que_job02	mapflag	nodrop
que_job03	mapflag	nodrop
abyss_01	mapflag	nodrop
abyss_02	mapflag	nodrop
abyss_03	mapflag	nodrop
thana_step	mapflag	nodrop
thana_boss	mapflag	nodrop
tha_scene01	mapflag	nodrop
tha_t01	mapflag	nodrop
tha_t02	mapflag	nodrop
tha_t03	mapflag	nodrop
tha_t04	mapflag	nodrop
tha_t07	mapflag	nodrop
tha_t05	mapflag	nodrop
tha_t06	mapflag	nodrop
tha_t08	mapflag	nodrop
tha_t09	mapflag	nodrop
tha_t10	mapflag	nodrop
tha_t11	mapflag	nodrop
tha_t12	mapflag	nodrop
auction_01	mapflag	nodrop
auction_02	mapflag	nodrop
hugel	mapflag	nodrop
hu_in01	mapflag	nodrop
que_bingo	mapflag	nodrop
que_hugel	mapflag	nodrop
p_track01	mapflag	nodrop
p_track02	mapflag	nodrop
odin_tem01	mapflag	nodrop
odin_tem02	mapflag	nodrop
odin_tem03	mapflag	nodrop
hu_fild02	mapflag	nodrop
hu_fild03	mapflag	nodrop
hu_fild06	mapflag	nodrop
ein_fild01	mapflag	nodrop
ein_fild02	mapflag	nodrop
ein_fild05	mapflag	nodrop
yuno_fild10	mapflag	nodrop
kh_kiehl02	mapflag	nodrop
kh_kiehl01	mapflag	nodrop
kh_dun02	mapflag	nodrop
kh_dun01	mapflag	nodrop
kh_mansion	mapflag	nodrop
kh_rossi	mapflag	nodrop
kh_school	mapflag	nodrop
kh_vila	mapflag	nodrop
poring_c01	mapflag	nodrop
poring_c02	mapflag	nodrop
que_ng	mapflag	nodrop
rachel	mapflag	nodrop
ra_in01	mapflag	nodrop
ra_fild01	mapflag	nodrop
ra_fild02	mapflag	nodrop
ra_fild03	mapflag	nodrop
ra_fild04	mapflag	nodrop
ra_fild05	mapflag	nodrop
ra_fild06	mapflag	nodrop
ra_fild07	mapflag	nodrop
ra_fild08	mapflag	nodrop
ra_fild09	mapflag	nodrop
ra_fild10	mapflag	nodrop
ra_fild11	mapflag	nodrop
ra_fild12	mapflag	nodrop
ra_fild13	mapflag	nodrop
ra_san01	mapflag	nodrop
ra_san02	mapflag	nodrop
ra_san03	mapflag	nodrop
ra_san04	mapflag	nodrop
ra_san05	mapflag	nodrop
ra_temin	mapflag	nodrop
ra_temple	mapflag	nodrop
ra_temsky	mapflag	nodrop
que_rachel	mapflag	nodrop
que_san04	mapflag	nodrop
ice_dun01	mapflag	nodrop
ice_dun02	mapflag	nodrop
ice_dun03	mapflag	nodrop
ice_dun04	mapflag	nodrop
que_thor	mapflag	nodrop
thor_camp	mapflag	nodrop
thor_v01	mapflag	nodrop
thor_v02	mapflag	nodrop
thor_v03	mapflag	nodrop
veins	mapflag	nodrop
ve_in	mapflag	nodrop
ve_in02	mapflag	nodrop
ve_fild01	mapflag	nodrop
ve_fild02	mapflag	nodrop
ve_fild03	mapflag	nodrop
ve_fild04	mapflag	nodrop
ve_fild05	mapflag	nodrop
ve_fild06	mapflag	nodrop
ve_fild07	mapflag	nodrop
nameless_i	mapflag	nodrop
nameless_n	mapflag	nodrop
nameless_in	mapflag	nodrop
abbey01	mapflag	nodrop
abbey02	mapflag	nodrop
abbey03	mapflag	nodrop
poring_w01	mapflag	nodrop
poring_w02	mapflag	nodrop
06guild_r	mapflag	nodrop
06guild_01	mapflag	nodrop
06guild_02	mapflag	nodrop
06guild_03	mapflag	nodrop
06guild_04	mapflag	nodrop
06guild_05	mapflag	nodrop
06guild_06	mapflag	nodrop
06guild_07	mapflag	nodrop
06guild_08	mapflag	nodrop
z_agit	mapflag	nodrop
que_temsky	mapflag	nodrop
itemmall	mapflag	nodrop
bossnia_01	mapflag	nodrop
bossnia_02	mapflag	nodrop
bossnia_03	mapflag	nodrop
bossnia_04	mapflag	nodrop
moscovia	mapflag	nodrop
mosk_in	mapflag	nodrop
mosk_ship	mapflag	nodrop
mosk_fild01	mapflag	nodrop
mosk_fild02	mapflag	nodrop
mosk_dun01	mapflag	nodrop
mosk_dun02	mapflag	nodrop
mosk_dun03	mapflag	nodrop
mosk_que	mapflag	nodrop
schg_cas01	mapflag	nodrop
schg_cas02	mapflag	nodrop
schg_cas03	mapflag	nodrop
schg_cas04	mapflag	nodrop
schg_cas05	mapflag	nodrop
sch_gld	mapflag	nodrop
cave	mapflag	nodrop
moc_fild20	mapflag	nodrop
moc_fild21	mapflag	nodrop
moc_fild22	mapflag	nodrop
que_ba	mapflag	nodrop
que_moc_16	mapflag	nodrop
que_moon	mapflag	nodrop
arug_cas01	mapflag	nodrop
arug_cas02	mapflag	nodrop
arug_cas03	mapflag	nodrop
arug_cas04	mapflag	nodrop
arug_cas05	mapflag	nodrop
aru_gld	mapflag	nodrop
bat_room	mapflag	nodrop
bat_a01	mapflag	nodrop
bat_a02	mapflag	nodrop
bat_a03	mapflag	nodrop
bat_a04	mapflag	nodrop
bat_a05	mapflag	nodrop
bat_b01	mapflag	nodrop
bat_b02	mapflag	nodrop
bat_b03	mapflag	nodrop
bat_b04	mapflag	nodrop
bat_b05	mapflag	nodrop
schg_cas06	mapflag	nodrop
schg_cas07	mapflag	nodrop
schg_cas08	mapflag	nodrop
arug_cas06	mapflag	nodrop
arug_cas07	mapflag	nodrop
arug_cas08	mapflag	nodrop
rush_cas01	mapflag	nodrop
rush_cas02	mapflag	nodrop
rush_cas03	mapflag	nodrop
rush_cas04	mapflag	nodrop
que_qsch01	mapflag	nodrop
que_qsch02	mapflag	nodrop
que_qsch03	mapflag	nodrop
que_qsch04	mapflag	nodrop
que_qsch05	mapflag	nodrop
que_qaru01	mapflag	nodrop
que_qaru02	mapflag	nodrop
que_qaru03	mapflag	nodrop
que_qaru04	mapflag	nodrop
que_qaru05	mapflag	nodrop
	mapflag	nodrop
// Memorial Dungeon	mapflag	nodrop
// -- 2007-11-28sdata_k.gpf	mapflag	nodrop
1@cata	mapflag	nodrop
2@cata	mapflag	nodrop
e_tower	mapflag	nodrop
1@tower	mapflag	nodrop
2@tower	mapflag	nodrop
3@tower	mapflag	nodrop
4@tower	mapflag	nodrop
5@tower	mapflag	nodrop
6@tower	mapflag	nodrop
	mapflag	nodrop
// 13.1 Another World	mapflag	nodrop
// -- 2008-05-28sdata_k.gpf	mapflag	nodrop
mid_camp	mapflag	nodrop
mid_campin	mapflag	nodrop
man_fild01	mapflag	nodrop
man_fild03	mapflag	nodrop
spl_fild02	mapflag	nodrop
spl_fild03	mapflag	nodrop
moc_fild22b	mapflag	nodrop
que_dan01	mapflag	nodrop
que_dan02	mapflag	nodrop
schg_que01	mapflag	nodrop
schg_dun01	mapflag	nodrop
arug_que01	mapflag	nodrop
arug_dun01	mapflag	nodrop
1@orcs	mapflag	nodrop
2@orcs	mapflag	nodrop
	mapflag	nodrop
// Additional Battleground.	mapflag	nodrop
// -- 2008-??-???	mapflag	nodrop
bat_c01	mapflag	nodrop
bat_c02	mapflag	nodrop
bat_c03	mapflag	nodrop
bat_c04	mapflag	nodrop
bat_c05	mapflag	nodrop
bat_c06	mapflag	nodrop
bat_c07	mapflag	nodrop
bat_c08	mapflag	nodrop
	mapflag	nodrop
// 13.2 Another World	mapflag	nodrop
// -- 2008-11-26	mapflag	nodrop
1@nyd	mapflag	nodrop
2@nyd	mapflag	nodrop
nyd_dun01	mapflag	nodrop
nyd_dun02	mapflag	nodrop
manuk	mapflag	nodrop
man_fild02	mapflag	nodrop
man_in01	mapflag	nodrop
splendide	mapflag	nodrop
spl_fild01	mapflag	nodrop
spl_in01	mapflag	nodrop
spl_in02	mapflag	nodrop
	mapflag	nodrop
// 3rd Job Maps	mapflag	nodrop
// -- 2009-01-29rdata_k2.gpf	mapflag	nodrop
job3_arch01	mapflag	nodrop
job3_arch02	mapflag	nodrop
job3_arch03	mapflag	nodrop
job3_guil01	mapflag	nodrop
job3_guil02	mapflag	nodrop
job3_guil03	mapflag	nodrop
job3_rang01	mapflag	nodrop
job3_rang02	mapflag	nodrop
job3_rune01	mapflag	nodrop
job3_rune02	mapflag	nodrop
job3_rune03	mapflag	nodrop
job3_war01	mapflag	nodrop
job3_war02	mapflag	nodrop
jupe_core2	mapflag	nodrop
	mapflag	nodrop
// ???	mapflag	nodrop
// -- 2009-05-27rdata_k.gpf	mapflag	nodrop
moc_para01	mapflag	nodrop
	mapflag	nodrop
// Brasilis Maps	mapflag	nodrop
// -- 2009-08-05rdata_k.gpf	mapflag	nodrop
brasilis	mapflag	nodrop
bra_in01	mapflag	nodrop
bra_fild01	mapflag	nodrop
bra_dun01	mapflag	nodrop
bra_dun02	mapflag	nodrop
	mapflag	nodrop
// ???	mapflag	nodrop
// -- 2009-09-30rdata_k.gpf	mapflag	nodrop
s_atelier	mapflag	nodrop
